iter	Passed	Remaining
0	0	97
1	1	88
2	2	81
3	3	75
4	3	73
5	4	71
6	5	70
7	6	69
8	6	69
9	7	68
10	8	68
11	9	67
12	9	66
13	10	66
14	11	67
15	14	76
16	15	76
17	16	76
18	17	75
19	18	74
20	19	72
21	20	71
22	20	69
23	21	68
24	22	67
25	23	65
26	23	64
27	24	63
28	25	62
29	26	62
30	28	62
31	29	62
32	30	61
33	30	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	36	53
41	37	51
42	38	50
43	38	49
44	39	48
45	40	48
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	48	41
54	49	40
55	50	39
56	51	38
57	51	37
58	52	36
59	53	35
60	54	34
61	56	34
62	57	33
63	59	33
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	67	22
75	68	21
76	69	20
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	80	8
90	81	8
91	82	7
92	83	6
93	85	5
94	86	4
95	87	3
96	87	2
97	88	1
98	89	0
99	90	0
