iter	Passed	Remaining
0	154	153863
1	155	77639
2	156	51988
3	157	39162
4	175	34849
5	179	29671
6	180	25614
7	181	22561
8	187	20625
9	194	19285
10	196	17645
11	197	16288
12	199	15165
13	200	14155
14	202	13311
15	204	12580
16	205	11907
17	206	11291
18	207	10733
19	208	10227
20	209	9769
21	210	9358
22	213	9051
23	213	8700
24	214	8376
25	215	8077
26	216	7802
27	217	7542
28	218	7303
29	219	7083
30	220	6877
31	221	6686
32	222	6507
33	223	6336
34	223	6173
35	224	6024
36	227	5931
37	228	5792
38	229	5659
39	230	5536
40	231	5415
41	232	5299
42	233	5188
43	233	5083
44	234	4982
45	235	4886
46	236	4794
47	237	4706
48	238	4627
49	239	4547
50	241	4499
51	242	4425
52	243	4355
53	245	4294
54	246	4231
55	247	4177
56	248	4118
57	250	4066
58	252	4027
59	256	4022
60	261	4025
61	262	3976
62	264	3928
63	265	3882
64	269	3877
65	270	3834
66	273	3811
67	274	3769
68	276	3728
69	277	3689
70	279	3651
71	280	3613
72	281	3576
73	282	3540
74	284	3505
75	285	3472
76	293	3512
77	294	3481
78	300	3503
79	305	3513
80	306	3481
81	308	3451
82	308	3412
83	309	3380
84	311	3349
85	312	3319
86	313	3288
87	314	3261
88	315	3232
89	316	3203
90	320	3202
91	321	3177
92	323	3153
93	324	3127
94	325	3104
95	327	3080
96	328	3060
97	329	3037
98	331	3016
99	335	3022
100	337	3007
101	339	2987
102	340	2964
103	341	2942
104	342	2921
105	344	2901
106	345	2881
107	346	2863
108	353	2890
109	358	2897
110	359	2880
111	361	2862
112	362	2845
113	363	2827
114	365	2810
115	366	2791
116	367	2770
117	368	2751
118	369	2734
119	370	2717
120	372	2703
121	373	2685
122	375	2675
123	379	2680
124	380	2665
125	382	2651
126	383	2636
127	385	2623
128	387	2616
129	389	2605
130	391	2599
131	395	2597
132	396	2584
133	398	2577
134	399	2561
135	400	2547
136	402	2535
137	404	2527
138	405	2512
139	406	2499
140	410	2499
141	411	2484
142	412	2474
143	414	2461
144	415	2450
145	417	2444
146	419	2436
147	421	2425
148	429	2450
149	433	2457
150	439	2471
151	441	2463
152	445	2463
153	447	2457
154	449	2452
155	462	2504
156	466	2505
157	471	2515
158	474	2508
159	475	2496
160	476	2482
161	484	2504
162	488	2508
163	492	2510
164	493	2497
165	497	2500
166	499	2489
167	500	2477
168	501	2465
169	502	2454
170	503	2442
171	504	2430
172	506	2419
173	507	2408
174	508	2396
175	512	2397
176	513	2387
177	514	2376
178	515	2366
179	516	2355
180	518	2344
181	519	2333
182	520	2322
183	521	2311
184	522	2302
185	523	2290
186	526	2289
187	527	2279
188	529	2269
189	530	2259
190	531	2249
191	532	2239
192	533	2230
193	534	2220
194	535	2211
195	536	2201
196	537	2192
197	538	2182
198	542	2184
199	543	2175
200	545	2166
201	546	2157
202	547	2148
203	548	2139
204	549	2130
205	550	2122
206	551	2113
207	552	2105
208	554	2097
209	556	2092
210	557	2086
211	559	2080
212	563	2081
213	564	2074
214	565	2066
215	570	2070
216	571	2061
217	572	2053
218	573	2044
219	574	2036
220	575	2027
221	576	2018
222	576	2010
223	577	2001
224	578	1992
225	579	1984
226	580	1975
227	580	1967
228	581	1958
229	584	1957
230	585	1949
231	586	1941
232	587	1933
233	588	1927
234	589	1920
235	590	1913
236	591	1905
237	592	1897
238	593	1889
239	594	1881
240	595	1873
241	595	1865
242	596	1858
243	598	1855
244	599	1848
245	600	1840
246	601	1833
247	602	1825
248	603	1819
249	604	1813
250	605	1805
251	605	1798
252	606	1791
253	607	1783
254	608	1776
255	609	1771
256	618	1788
257	619	1782
258	620	1776
259	621	1769
260	622	1762
261	623	1756
262	624	1749
263	624	1742
264	625	1735
265	626	1728
266	627	1721
267	629	1718
268	630	1712
269	631	1706
270	632	1700
271	632	1693
272	633	1687
273	634	1680
274	635	1674
275	635	1667
276	636	1661
277	637	1655
278	638	1648
279	638	1642
280	639	1637
281	640	1631
282	641	1625
283	643	1622
284	644	1617
285	645	1611
286	646	1606
287	647	1601
288	648	1595
289	649	1590
290	650	1584
291	651	1579
292	652	1573
293	652	1568
294	653	1562
295	654	1556
296	655	1551
297	656	1545
298	657	1540
299	659	1538
300	659	1532
301	660	1527
302	661	1521
303	662	1516
304	663	1510
305	663	1505
306	664	1499
307	665	1494
308	665	1489
309	666	1483
310	667	1478
311	668	1473
312	668	1468
313	669	1462
314	670	1457
315	671	1452
316	673	1451
317	674	1446
318	675	1441
319	675	1436
320	676	1431
321	677	1426
322	678	1421
323	679	1416
324	679	1411
325	680	1407
326	681	1402
327	682	1397
328	683	1393
329	683	1388
330	684	1383
331	685	1378
332	686	1374
333	688	1372
334	689	1367
335	689	1363
336	690	1358
337	691	1354
338	692	1349
339	692	1345
340	693	1340
341	694	1336
342	695	1331
343	695	1327
344	696	1322
345	697	1318
346	698	1313
347	698	1309
348	699	1304
349	700	1300
350	702	1298
351	703	1294
352	704	1290
353	704	1286
354	705	1282
355	707	1279
356	710	1279
357	720	1292
358	724	1293
359	725	1290
360	726	1286
361	728	1283
362	729	1279
363	730	1275
364	731	1271
365	733	1270
366	734	1266
367	735	1262
368	735	1258
369	736	1254
370	737	1251
371	738	1247
372	739	1243
373	740	1239
374	741	1235
375	742	1232
376	743	1228
377	744	1225
378	745	1221
379	748	1221
380	749	1217
381	750	1214
382	752	1211
383	752	1207
384	753	1204
385	754	1200
386	755	1196
387	756	1193
388	757	1189
389	758	1186
390	759	1182
391	760	1178
392	760	1174
393	761	1171
394	763	1169
395	763	1165
396	764	1161
397	765	1157
398	766	1154
399	766	1150
400	767	1146
401	768	1143
402	769	1139
403	769	1135
404	770	1131
405	771	1128
406	771	1124
407	772	1120
408	773	1117
409	773	1113
410	774	1110
411	775	1106
412	776	1103
413	778	1101
414	779	1098
415	779	1094
416	780	1091
417	781	1087
418	782	1084
419	782	1081
420	783	1077
421	784	1074
422	784	1070
423	785	1067
424	786	1063
425	787	1060
426	787	1057
427	788	1053
428	789	1050
429	789	1046
430	791	1045
431	792	1042
432	793	1039
433	794	1036
434	795	1032
435	795	1029
436	796	1026
437	797	1022
438	797	1019
439	798	1016
440	799	1013
441	799	1009
442	800	1006
443	801	1003
444	802	1000
445	802	997
446	803	994
447	804	990
448	805	987
449	806	986
450	807	983
451	808	980
452	809	977
453	810	974
454	810	971
455	811	968
456	812	965
457	812	962
458	813	959
459	814	956
460	815	953
461	815	950
462	816	947
463	817	944
464	818	941
465	818	938
466	820	936
467	821	933
468	822	930
469	822	927
470	823	924
471	824	922
472	824	919
473	825	916
474	826	913
475	826	910
476	827	907
477	828	904
478	829	901
479	829	898
480	830	896
481	831	893
482	831	890
483	832	887
484	833	884
485	835	883
486	835	880
487	836	877
488	837	875
489	838	872
490	838	869
491	839	866
492	840	864
493	840	861
494	841	858
495	842	855
496	843	853
497	843	850
498	844	847
499	845	845
500	846	842
501	846	840
502	847	837
503	848	834
504	849	833
505	850	830
506	851	827
507	852	825
508	852	822
509	853	820
510	854	817
511	854	814
512	855	812
513	856	809
514	857	807
515	857	804
516	858	802
517	859	799
518	859	796
519	860	794
520	861	791
521	861	789
522	862	787
523	864	785
524	865	782
525	865	780
